source,record_type,timestamp,temperature_2m,precipitation_probability,name,country_code,capital,population,ip_address,region,city,latitude,longitude,timezone
Open-Meteo,hourly_weather,2026-07-20 00:00:00,23.2,6.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 01:00:00,22.9,15.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 02:00:00,22.8,27.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 03:00:00,22.6,41.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 04:00:00,22.6,58.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 05:00:00,22.3,76.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 06:00:00,22.2,90.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 07:00:00,22.4,97.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 08:00:00,22.5,99.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 09:00:00,22.6,100.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 10:00:00,22.8,100.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 11:00:00,23.1,100.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 12:00:00,23.3,100.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 13:00:00,23.0,98.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 14:00:00,23.9,95.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 15:00:00,25.0,90.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
Open-Meteo,hourly_weather,2026-07-20 16:00:00,24.7,81.0,Seoul,KR,,,,,,37.55,127.0,Asia/Seoul
